#          time               [KKK-P]               [KK-PP]              [K-PP]
      0.20000000E+02       0.38024046E-01       0.17787990E-03       0.48862099E-09
      0.40000000E+02       0.73681786E-01       0.28434184E-02       0.26820637E-06
      0.60000000E+02       0.10695844E+00       0.13870948E-01       0.85581403E-05
      0.80000000E+02       0.13801736E+00       0.41848291E-01       0.91044241E-04
      0.10000000E+03       0.16701579E+00       0.97150441E-01       0.54111299E-03
      0.12000000E+03       0.19410526E+00       0.19118849E+00       0.22446289E-02
      0.14000000E+03       0.21943160E+00       0.33582707E+00       0.73008489E-02
      0.16000000E+03       0.24313474E+00       0.54295470E+00       0.19943340E-01
      0.18000000E+03       0.26534845E+00       0.82418752E+00       0.47812296E-01
      0.20000000E+03       0.28620008E+00       0.11906857E+01       0.10366504E+00
      0.22000000E+03       0.30581034E+00       0.16530645E+01       0.20767762E+00
      0.24000000E+03       0.32429322E+00       0.22213841E+01       0.39059160E+00
      0.26000000E+03       0.34175595E+00       0.29052109E+01       0.69810871E+00
      0.28000000E+03       0.35829908E+00       0.37137479E+01       0.11971542E+01
      0.30000000E+03       0.37401663E+00       0.46560443E+01       0.19849582E+01
      0.32000000E+03       0.38899634E+00       0.57413143E+01       0.32024039E+01
      0.34000000E+03       0.40331993E+00       0.69794192E+01       0.50538465E+01
      0.36000000E+03       0.41706342E+00       0.83816189E+01       0.78367312E+01
      0.38000000E+03       0.43029745E+00       0.99617794E+01       0.11985912E+02
      0.40000000E+03       0.44308768E+00       0.11738369E+02       0.18139513E+02
      0.42000000E+03       0.45549509E+00       0.13737834E+02       0.27234759E+02
      0.44000000E+03       0.46757633E+00       0.16000378E+02       0.40641039E+02
      0.46000000E+03       0.47938403E+00       0.18589907E+02       0.60327066E+02
      0.48000000E+03       0.49096706E+00       0.21610994E+02       0.89025481E+02
      0.50000000E+03       0.50237066E+00       0.25237012E+02       0.13027755E+03
      0.52000000E+03       0.51363649E+00       0.29753835E+02       0.18808739E+03
      0.54000000E+03       0.52480254E+00       0.35616705E+02       0.26570577E+03
      0.56000000E+03       0.53590278E+00       0.43482346E+02       0.36299557E+03
      0.58000000E+03       0.54696704E+00       0.54066473E+02       0.47265809E+03
      0.60000000E+03       0.55802200E+00       0.67564155E+02       0.57881189E+03
      0.62000000E+03       0.56909428E+00       0.82973788E+02       0.66466053E+03
      0.64000000E+03       0.58021355E+00       0.98808743E+02       0.72533968E+03
      0.66000000E+03       0.59141149E+00       0.11450746E+03       0.76743581E+03
      0.68000000E+03       0.60271896E+00       0.13023363E+03       0.79843846E+03
      0.70000000E+03       0.61416518E+00       0.14617398E+03       0.82262838E+03
      0.72000000E+03       0.62577821E+00       0.16240160E+03       0.84218666E+03
      0.74000000E+03       0.63758529E+00       0.17893562E+03       0.85836655E+03
      0.76000000E+03       0.64961313E+00       0.19577585E+03       0.87197887E+03
      0.78000000E+03       0.66188801E+00       0.21291390E+03       0.88358498E+03
      0.80000000E+03       0.67443591E+00       0.23033715E+03       0.89359013E+03
      0.82000000E+03       0.68728267E+00       0.24803051E+03       0.90229586E+03
      0.84000000E+03       0.70045400E+00       0.26597731E+03       0.90993188E+03
      0.86000000E+03       0.71397561E+00       0.28415986E+03       0.91667661E+03
      0.88000000E+03       0.72787324E+00       0.30255971E+03       0.92267088E+03
      0.90000000E+03       0.74217277E+00       0.32115786E+03       0.92802746E+03
      0.92000000E+03       0.75690017E+00       0.33993487E+03       0.93283770E+03
      0.94000000E+03       0.77208161E+00       0.35887094E+03       0.93717643E+03
      0.96000000E+03       0.78774341E+00       0.37794594E+03       0.94110552E+03
      0.98000000E+03       0.80391208E+00       0.39713944E+03       0.94467656E+03
      0.10000000E+04       0.82061423E+00       0.41643074E+03       0.94793292E+03
      0.10200000E+04       0.83787659E+00       0.43579884E+03       0.95091130E+03
      0.10400000E+04       0.85572587E+00       0.45522247E+03       0.95364293E+03
      0.10600000E+04       0.87418871E+00       0.47468006E+03       0.95615460E+03
      0.10800000E+04       0.89329150E+00       0.49414973E+03       0.95846936E+03
      0.11000000E+04       0.91306023E+00       0.51360931E+03       0.96060717E+03
      0.11200000E+04       0.93352027E+00       0.53303628E+03       0.96258538E+03
      0.11400000E+04       0.95469610E+00       0.55240781E+03       0.96441914E+03
      0.11600000E+04       0.97661103E+00       0.57170073E+03       0.96612173E+03
      0.11800000E+04       0.99928677E+00       0.59089154E+03       0.96770485E+03
      0.12000000E+04       0.10227431E+01       0.60995639E+03       0.96917879E+03
      0.12200000E+04       0.10469972E+01       0.62887114E+03       0.97055271E+03
      0.12400000E+04       0.10720633E+01       0.64761134E+03       0.97183471E+03
      0.12600000E+04       0.10979519E+01       0.66615225E+03       0.97303204E+03
      0.12800000E+04       0.11246690E+01       0.68446894E+03       0.97415113E+03
      0.13000000E+04       0.11522156E+01       0.70253630E+03       0.97519780E+03
      0.13200000E+04       0.11805867E+01       0.72032912E+03       0.97617722E+03
      0.13400000E+04       0.12097700E+01       0.73782218E+03       0.97709408E+03
      0.13600000E+04       0.12397459E+01       0.75499036E+03       0.97795259E+03
      0.13800000E+04       0.12704855E+01       0.77180876E+03       0.97875659E+03
      0.14000000E+04       0.13019507E+01       0.78825287E+03       0.97950953E+03
      0.14200000E+04       0.13340923E+01       0.80429868E+03       0.98021458E+03
      0.14400000E+04       0.13668503E+01       0.81992294E+03       0.98087461E+03
      0.14600000E+04       0.14001523E+01       0.83510331E+03       0.98149226E+03
      0.14800000E+04       0.14339139E+01       0.84981862E+03       0.98206996E+03
      0.15000000E+04       0.14680381E+01       0.86404907E+03       0.98260994E+03
      0.15200000E+04       0.15024156E+01       0.87777651E+03       0.98311428E+03
      0.15400000E+04       0.15369259E+01       0.89098468E+03       0.98358491E+03
      0.15600000E+04       0.15714375E+01       0.90365945E+03       0.98402364E+03
      0.15800000E+04       0.16058102E+01       0.91578903E+03       0.98443216E+03
      0.16000000E+04       0.16398968E+01       0.92736423E+03       0.98481208E+03
      0.16200000E+04       0.16735453E+01       0.93837862E+03       0.98516493E+03
      0.16400000E+04       0.17066023E+01       0.94882864E+03       0.98549217E+03
      0.16600000E+04       0.17389157E+01       0.95871374E+03       0.98579519E+03
      0.16800000E+04       0.17703381E+01       0.96803642E+03       0.98607533E+03
      0.17000000E+04       0.18007300E+01       0.97680217E+03       0.98633390E+03
      0.17200000E+04       0.18299634E+01       0.98501945E+03       0.98657213E+03
      0.17400000E+04       0.18579241E+01       0.99269952E+03       0.98679126E+03
      0.17600000E+04       0.18845147E+01       0.99985623E+03       0.98699245E+03
      0.17800000E+04       0.19096562E+01       0.10065058E+04       0.98717684E+03
      0.18000000E+04       0.19332892E+01       0.10126666E+04       0.98734554E+03
      0.18200000E+04       0.19553745E+01       0.10183586E+04       0.98749961E+03
      0.18400000E+04       0.19758932E+01       0.10236035E+04       0.98764008E+03
      0.18600000E+04       0.19948455E+01       0.10284237E+04       0.98776793E+03
      0.18800000E+04       0.20122496E+01       0.10328427E+04       0.98788410E+03
      0.19000000E+04       0.20281400E+01       0.10368841E+04       0.98798949E+03
      0.19200000E+04       0.20425653E+01       0.10405719E+04       0.98808495E+03
      0.19400000E+04       0.20555856E+01       0.10439297E+04       0.98817130E+03
      0.19600000E+04       0.20672709E+01       0.10469809E+04       0.98824928E+03
      0.19800000E+04       0.20776976E+01       0.10497481E+04       0.98831963E+03
      0.20000000E+04       0.20869476E+01       0.10522533E+04       0.98838300E+03
      0.20200000E+04       0.20951050E+01       0.10545173E+04       0.98844001E+03
      0.20400000E+04       0.21022552E+01       0.10565601E+04       0.98849125E+03
      0.20600000E+04       0.21084828E+01       0.10584006E+04       0.98853725E+03
      0.20800000E+04       0.21138706E+01       0.10600565E+04       0.98857851E+03
      0.21000000E+04       0.21184985E+01       0.10615442E+04       0.98861546E+03
